CUSTOMER_ID,GENDER,AGE,MARITAL_STATUS,EDUCATION,BANK_TENURE,CUSTOMER_LOCATION,DIGITAL_INDICATOR,SEC,HOME_OWNER_INDICATOR,CAR_OWNER_INDICATOR,MONTHLY_INCOME,INCOME_SOURCE,ENVIRONMENTAL_AFF_INDICATOR,HUMANITARIAN_AFF_INDICATOR,OF_INDICATOR,RETIREES_INDICATOR,FILCHI_INDICATOR
17625158.5714,FEMALE,43.44,SINGLE,MID,12.09,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,Y,121717603.34,BUSINESS,N,N,Y,N,N
136379060,FEMALE,45.89,MARRIED,LOW,2.43,REGION II (CAGAYAN VALLEY),TRADITIONAL,A,N,N,95000000.89,BUSINESS,N,N,Y,N,N
61584985.7143,FEMALE,58.78,MARRIED,MID,14.25,REGION II (CAGAYAN VALLEY),TRADITIONAL,A,Y,N,87748684.84,BUSINESS,N,N,Y,N,Y
116746201.4286,FEMALE,33.1,MARRIED,MID,9.85,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,68535723.11,BUSINESS,N,N,Y,N,Y
104895172.8571,FEMALE,61.69,MARRIED,MID,11.59,REGION VII (CENTRAL VISAYAS),DIGITAL,A,Y,N,52813365.68,BUSINESS,N,N,N,Y,Y
90232428.5714,MALE,66.9,MARRIED,HIGH,28.21,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,N,52649381.21,BUSINESS,N,N,Y,Y,N
137593685.7143,MALE,75.53,MARRIED,MID,15.11,REGION IX (ZAMBOANGA PENINSULA),TRADITIONAL,A,N,N,37085741.73,BUSINESS,N,N,N,Y,Y
52895714.2857,FEMALE,64.07,MARRIED,MID,32.21,REGION I (ILOCOS REGION),TRADITIONAL,A,N,N,28887968.69,BUSINESS,N,N,N,Y,Y
36982228.5714,MALE,39.83,MARRIED,MID,17.17,REGION II (CAGAYAN VALLEY),TRADITIONAL,A,Y,Y,25560211.2,BUSINESS,N,N,N,N,N
7384130,MALE,32.63,SINGLE,MID,5.79,REGION IV-A (CALABARZON),TRADITIONAL,A,N,N,24451594.15,BUSINESS,N,N,Y,N,N
44930244.2857,FEMALE,31.34,SINGLE,MID,8.85,NATIONAL CAPITAL REGION,DIGITAL,A,Y,Y,23301145.94,BUSINESS,N,N,Y,N,N
121237860,MALE,33.97,SINGLE,MID,5.6,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,22699392.08,BUSINESS,N,N,N,N,Y
52970330,MALE,55.25,MARRIED,MID,10.71,REGION VI (WESTERN VISAYAS),TRADITIONAL,A,N,N,22628544.21,BUSINESS,N,N,Y,N,N
89510042.8571,FEMALE,62.47,SINGLE,MID,23.57,REGION V (BICOL REGION),TRADITIONAL,A,Y,Y,22477007.67,BUSINESS,N,N,Y,Y,Y
76707371.4286,FEMALE,47.97,SEPARATED,MID,19.65,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,N,22404043.04,BUSINESS,N,N,Y,N,N
25113602.8571,FEMALE,34.46,MARRIED,MID,3.82,REGION VI (WESTERN VISAYAS),DIGITAL,A,Y,Y,19199029.51,BUSINESS,N,N,N,N,N
47358000,FEMALE,54.16,MARRIED,MID,33.3,REGION III (CENTRAL LUZON),TRADITIONAL,A,N,N,19123868.63,BUSINESS,N,N,Y,N,N
39409342.8571,FEMALE,71.37,DIVORCED,MID,19.82,NATIONAL CAPITAL REGION,DIGITAL,A,Y,Y,18615884.98,BUSINESS,N,N,N,Y,Y
85345342.8571,MALE,46.45,MARRIED,MID,21.62,NATIONAL CAPITAL REGION,DIGITAL,A,N,Y,18091770.93,BUSINESS,N,N,Y,N,N
37048142.8571,MALE,65.78,MARRIED,MID,27.75,NATIONAL CAPITAL REGION,TRADITIONAL,A,Y,Y,17959077.75,BUSINESS,N,N,Y,Y,N
93886572.8571,FEMALE,58.37,MARRIED,MID,13.82,REGION IV-A (CALABARZON),TRADITIONAL,A,N,N,17954818.06,BUSINESS,N,N,N,N,Y
31189471.4286,MALE,57.12,MARRIED,MID,21.63,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,Y,17938334.86,BUSINESS,N,N,Y,N,Y
119781600,MALE,65.3,MARRIED,MID,24.02,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,N,17437384.16,BUSINESS,N,N,Y,Y,Y
91532815.7143,MALE,62.51,MARRIED,MID,8.28,REGION IV-A (CALABARZON),TRADITIONAL,A,N,N,17165154.33,BUSINESS,N,N,N,Y,N
24876085.7143,MALE,41.8,MARRIED,LOW,18.37,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,Y,16859075.45,BUSINESS,N,N,Y,N,N
32287902.8571,MALE,39.39,MARRIED,MID,1.49,REGION XII (SOCCSKSARGEN),TRADITIONAL,A,Y,Y,16435788.03,BUSINESS,N,N,N,N,N
30017257.1429,MALE,50.74,SINGLE,MID,16.99,REGION I (ILOCOS REGION),DIGITAL,A,Y,Y,15041426.16,BUSINESS,N,N,Y,N,N
50115542.8571,MALE,42.13,MARRIED,MID,15.44,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,Y,14645728.57,BUSINESS,N,N,Y,N,N
129904285.7143,FEMALE,64.08,MARRIED,MID,24.2,NATIONAL CAPITAL REGION,DIGITAL,A,Y,Y,14447450.9,BUSINESS,N,N,Y,Y,N
140660915.7143,FEMALE,66.24,SINGLE,MID,10.7,REGION III (CENTRAL LUZON),DIGITAL,A,Y,Y,14045568.93,BUSINESS,N,N,Y,Y,N
54710317.1429,FEMALE,45.36,OTHER,MID,27.57,REGION I (ILOCOS REGION),TRADITIONAL,A,N,N,14006817.49,BUSINESS,N,N,Y,N,Y
32941287.1429,MALE,51.34,MARRIED,MID,14.47,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,N,13981531.07,BUSINESS,N,N,N,N,N
87123615.7143,MALE,33.34,MARRIED,MID,9.67,REGION I (ILOCOS REGION),DIGITAL,A,N,Y,13755076.51,BUSINESS,N,N,Y,N,Y
9356171.4286,MALE,80.14,MARRIED,MID,23.24,NATIONAL CAPITAL REGION,DIGITAL,A,Y,N,13512316.94,BUSINESS,N,N,Y,Y,N
108834442.8571,MALE,67.39,MARRIED,MID,25.61,REGION VIII (EASTERN VISAYAS),DIGITAL,A,N,N,13185540.06,BUSINESS,N,N,N,Y,N
47065514.2857,FEMALE,55.14,MARRIED,MID,18.08,REGION VI (WESTERN VISAYAS),TRADITIONAL,A,Y,Y,12823792.56,BUSINESS,N,N,N,N,Y
86132458.5714,FEMALE,55.66,SINGLE,MID,12.56,REGION VII (CENTRAL VISAYAS),DIGITAL,A,Y,Y,12573265.35,BUSINESS,N,N,N,N,Y
68166771.4286,MALE,53.18,MARRIED,MID,21.26,REGION III (CENTRAL LUZON),TRADITIONAL,A,Y,Y,12513790.57,BUSINESS,N,N,Y,N,N
98610160,MALE,27.19,MARRIED,MID,5.3,REGION VII (CENTRAL VISAYAS),DIGITAL,A,Y,N,12135159.52,BUSINESS,N,N,Y,N,N
108402842.8571,FEMALE,43.13,MARRIED,LOW,14.18,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,Y,11940402.8,BUSINESS,N,N,Y,N,N
75874500,MALE,66.01,MARRIED,MID,20.43,REGION IX (ZAMBOANGA PENINSULA),TRADITIONAL,A,Y,Y,11481873.94,BUSINESS,N,N,Y,Y,Y
