CUSTOMER_ID,CARD_TYPE
119600.0,EMV Petron
119600.0,Platinum Visa
119600.0,EMV Gold MC
505571.4286,EMV Petron
505571.4286,EMV Gold MC
1383644.2857,BPI Signature Visa
1383644.2857,EMV Blue MC
2441288.5714,BPI Signature Visa
2441288.5714,EMV Gold MC
4574044.2857,EMV Gold MC
4574044.2857,E-Credit
4867601.4286,E-Credit
4867601.4286,EMV Gold MC
5066458.5714,BPI Platinum Rewards MC
5066458.5714,E-Credit
6479071.4286,EMV Gold MC
6479071.4286,E-Credit
7242671.4286,EMV Blue MC
7242671.4286,E-Credit
7384130.0,Magstripe-Blue MC
7384130.0,BPI Signature Visa
8081487.1429,Magstripe-Blue MC
8081487.1429,EMV Petron
9634057.1429,E-Credit
9634057.1429,BPI Platinum Rewards MC
9738600.0,EMV Gold MC
9738600.0,E-Credit
9738600.0,BPI Signature Visa
12040458.5714,E-Credit
12040458.5714,EMV Gold MC
12718985.7143,EMV Gold MC
12718985.7143,E-Credit
17860160.0,EMV Gold MC
17860160.0,EMV Petron
18296242.8571,EMV Gold MC
18296242.8571,BPI Platinum Rewards MC
19580285.7143,BPI Signature Visa
19580285.7143,EMV Gold MC
19880644.2857,Magstripe-Blue MC
19880644.2857,E-Credit
20083242.8571,EMV Gold MC
20083242.8571,BPI Signature Visa
20991528.5714,E-Credit
20991528.5714,Magstripe-Blue MC
22479928.5714,EMV Gold MC
22479928.5714,E-Credit
22479928.5714,BPI Signature Visa
24478160.0,BPI Signature Visa
24478160.0,E-Credit
24482558.5714,EMV Gold MC
24482558.5714,E-Credit
24802014.2857,E-Credit
24802014.2857,Platinum Visa
24876085.7143,BPI Signature Visa
24876085.7143,PRE-NUMBERED EXPRESS CASH
24876085.7143,EMV Gold MC
24997357.1429,E-Credit
24997357.1429,EMV Petron
25033442.8571,Magstripe-Blue MC
25033442.8571,E-Credit
25290657.1429,E-Credit
25290657.1429,BPI Signature Visa
25290657.1429,EMV Petron
25290657.1429,Platinum Visa
25875345.7143,EMV Petron
25875345.7143,E-Credit
25875345.7143,Regular Visa
27418714.2857,BPI Signature Visa
27418714.2857,EMV Gold MC
27851142.8571,PRE-NUMBERED EXPRESS CASH
27851142.8571,EMV Gold MC
28565500.0,E-Credit
28565500.0,BPI Platinum Rewards MC
30376744.2857,Regular Visa
30376744.2857,EMV Petron
31980142.8571,EMV Petron
31980142.8571,EMV Gold MC
33000415.7143,E-Credit
33000415.7143,Magstripe-Blue MC
33493228.5714,E-Credit
33493228.5714,EMV Gold MC
35904742.8571,EMV Petron
35904742.8571,BPI Signature Visa
37048142.8571,BPI Signature Visa
37048142.8571,EMV Gold MC
37430071.4286,BPI Platinum Rewards MC
37430071.4286,E-Credit
38178044.2857,BPI Signature Visa
38178044.2857,EMV Blue MC
38417714.2857,EMV Gold MC
38417714.2857,BPI Signature Visa
38482088.5714,E-Credit
38482088.5714,Magstripe-Blue MC
38502185.7143,EMV Gold MC
38502185.7143,E-Credit
40020942.8571,EMV Gold MC
40020942.8571,EMV Petron
40198144.2857,EMV Petron
40198144.2857,EMV Gold MC
41103314.2857,EMV Blue MC
41103314.2857,E-Credit
41351914.2857,EMV Petron
41351914.2857,EMV Gold MC
42499942.8571,EMV Blue MC
42499942.8571,Platinum Visa
43208631.4286,Magstripe-Blue MC
43208631.4286,EMV BPI Edge
44930244.2857,BPI Signature Visa
44930244.2857,Magstripe-Blue MC
45200344.2857,Platinum Visa
45200344.2857,BPI Signature Visa
46341614.2857,E-Credit
46341614.2857,BPI Signature Visa
47289871.4286,E-Credit
47289871.4286,BPI Signature Visa
47922158.5714,E-Credit
47922158.5714,Magstripe-Blue MC
49113428.5714,Regular Visa
49113428.5714,EMV Gold MC
49745142.8571,EMV Gold MC
49745142.8571,EMV Petron
51603771.4286,EMV Gold MC
51603771.4286,E-Credit
51603771.4286,BPI Signature Visa
51917414.2857,BPI Signature Visa
51917414.2857,E-Credit
53092888.5714,E-Credit
53092888.5714,EMV Gold MC
53202615.7143,E-Credit
53202615.7143,EMV Blue MC
53797014.2857,E-Credit
53797014.2857,EMV Gold MC
53999174.2857,EMV Gold MC
53999174.2857,E-Credit
54440344.2857,Platinum Visa
54440344.2857,BPI Platinum Rewards MC
54710317.1429,EMV Blue MC
54710317.1429,E-Credit
57034500.0,BPI Signature Visa
57034500.0,EMV Blue MC
57141772.8571,BPI Platinum Rewards MC
57141772.8571,BPI Signature Visa
58956142.8571,E-Credit
58956142.8571,BPI Signature Visa
59387628.5714,E-Credit
59387628.5714,EMV Blue MC
61578500.0,BPI Signature Visa
61578500.0,EMV Gold MC
61637071.4286,E-Credit
61637071.4286,EMV Gold MC
63643458.5714,E-Credit
63643458.5714,EMV Blue MC
65698542.8571,BPI Platinum Rewards MC
65698542.8571,BPI Signature Visa
