CUSTOMER_ID,CARD_TYPE
69824345.7143,Magstripe-Blue MC
140930315.7143,Magstripe-Blue MC
95326800.0,Regular Visa
46156242.8571,EMV Blue MC
19424774.2857,Magstripe-Blue MC
118410074.2857,EMV Petron
104485502.8571,Magstripe-Blue MC
74939145.7143,EMV Gold MC
44665345.7143,Regular Visa
127347842.8571,EMV Blue MC
61300558.5714,Regular Visa
104488230.0,Magstripe-Blue MC
72324445.7143,EMV Blue MC
52026585.7143,EMV Gold MC
292860.0,EMV Gold MC
9571800.0,EMV Blue MC
13705971.4286,EMV Gold MC
7477544.2857,EMV Blue MC
82077858.5714,EMV Gold MC
16506500.0,EMV Blue MC
104137385.7143,BPI Signature Visa
9963345.7143,E-Credit
69173601.4286,EMV Petron
64035630.0,Magstripe-Blue MC
99630174.2857,Magstripe-Blue MC
6766244.2857,EMV Blue MC
115115602.8571,Magstripe-Blue MC
25097317.1429,EMV Gold MC
131274501.4286,EMV Gold MC
140147031.4286,BPI Signature Visa
69276071.4286,EMV BPI Edge
111255502.8571,EMV Gold MC
93615445.7143,EMV Gold MC
5319015.7143,Magstripe-Blue MC
99174888.5714,Magstripe-Blue MC
52303687.1429,Platinum Visa
68628387.1429,EMV Blue MC
71893031.4286,Magstripe-Blue MC
113209372.8571,Magstripe-Blue MC
124953387.1429,EMV Gold MC
33649558.5714,Regular Visa
18410731.4286,Magstripe-Blue MC
106384472.8571,Magstripe-Blue MC
34977358.5714,EMV Gold MC
6751730.0,EMV Petron
41053474.2857,Regular Visa
96015387.1429,Magstripe-Blue MC
108780472.8571,EMV Blue MC
110472360.0,Regular Visa
64097228.5714,EMV Blue MC
118408114.2857,EMV Gold MC
78303815.7143,EMV Blue MC
120664930.0,Magstripe-Blue MC
53631415.7143,Magstripe-Blue MC
22071700.0,EMV Gold MC
3506815.7143,EMV Blue MC
60340602.8571,EMV Gold MC
52376385.7143,EMV Blue MC
17915657.1429,EMV Gold MC
110772514.2857,EMV BPI Edge
102263344.2857,EMV Gold MC
16506500.0,E-Credit
81025931.4286,Magstripe-Blue MC
5769542.8571,EMV Blue MC
119383714.2857,EMV Blue MC
22071700.0,Platinum Visa
26472060.0,EMV Gold MC
111840631.4286,Magstripe-Blue MC
50604972.8571,EMV Blue MC
73971360.0,Regular Visa
34163574.2857,EMV Blue MC
128196045.7143,Regular Visa
98977001.4286,EMV Gold MC
95165360.0,E-Credit
84095945.7143,EMV BPI Edge
24922158.5714,EMV Blue MC
85425415.7143,EMV Gold MC
107718714.2857,EMV Gold MC
126703672.8571,Magstripe-Blue MC
63945217.1429,Magstripe-Blue MC
49178217.1429,Magstripe-Blue MC
51121074.2857,Magstripe-Blue MC
92673745.7143,Magstripe-Blue MC
129371071.4286,EMV Blue MC
1893217.1429,E-Credit
15039972.8571,EMV Blue MC
35760888.5714,EMV Gold MC
96067431.4286,EMV Blue MC
27006788.5714,Regular Visa
13995257.1429,EMV Blue MC
27003444.2857,Magstripe-Blue MC
76839244.2857,E-Credit
51248887.1429,EMV Blue MC
27124342.8571,E-Credit
128008045.7143,Magstripe-Blue MC
117868474.2857,Magstripe-Blue MC
138152474.2857,Magstripe-Blue MC
132879215.7143,EMV Gold MC
17385844.2857,EMV Petron
76839244.2857,BPI Platinum Rewards MC
64113401.4286,EMV Gold MC
26033058.5714,Magstripe-Blue MC
31955958.5714,Regular Visa
