CUSTOMER_ID,CARD_TYPE
131883588.5714,Magstripe-Blue MC
78319157.1429,EMV Gold MC
125162857.1429,BPI Signature Visa
22830442.8571,BPI Signature Visa
76707371.4286,EMV Gold MC
85345342.8571,EMV Gold MC
12040458.5714,EMV Gold MC
138686000.0,EMV Gold MC
110561687.1429,Regular Visa
81919002.8571,Magstripe-Blue MC
103115930.0,BPI Signature Visa
73926571.4286,BPI Signature Visa
84785072.8571,EMV Gold MC
37048142.8571,BPI Signature Visa
31980142.8571,EMV Petron
23709460.0,Platinum Visa
48900515.7143,EMV Gold MC
37114745.7143,EMV Gold MC
40020942.8571,EMV Gold MC
68166771.4286,BPI Signature Visa
125761257.1429,EMV Gold MC
36109745.7143,Magstripe-Blue MC
11179174.2857,EMV Gold MC
112678542.8571,EMV Petron
137494330.0,EMV Gold MC
61307158.5714,BPI Platinum Rewards MC
119383300.0,EMV Gold MC
10782072.8571,BPI Signature Visa
122111888.5714,BPI Platinum Rewards MC
99880057.1429,EMV Gold MC
46341614.2857,BPI Signature Visa
142189714.2857,EMV Gold MC
24848314.2857,Platinum Visa
38178044.2857,EMV Blue MC
90804371.4286,EMV Gold MC
38502185.7143,EMV Gold MC
110879645.7143,BPI Platinum Rewards MC
91352000.0,EMV Gold MC
135968485.7143,BPI Platinum Rewards MC
29995728.5714,EMV Blue MC
114514717.1429,EMV Gold MC
13971857.1429,EMV Gold MC
96476371.4286,EMV Gold MC
109267058.5714,Magstripe-Blue MC
79471072.8571,EMV Gold MC
8081487.1429,EMV Petron
18296242.8571,BPI Platinum Rewards MC
111881728.5714,BPI Platinum Rewards MC
13749485.7143,BPI Platinum Rewards MC
70062142.8571,EMV Gold MC
82345201.4286,EMV Gold MC
57141772.8571,BPI Platinum Rewards MC
63669345.7143,EMV Petron
124258871.4286,BPI Platinum Rewards MC
17860160.0,EMV Petron
78093717.1429,Regular Visa
84854271.4286,BPI Platinum Rewards MC
61971228.5714,EMV Gold MC
16766501.4286,Regular Visa
77322914.2857,Regular Visa
63476630.0,BPI Platinum Rewards MC
95572428.5714,EMV Gold MC
141422285.7143,EMV Petron
26913445.7143,Magstripe-Blue MC
104706888.5714,Regular Visa
114128857.1429,EMV Gold MC
28775658.5714,EMV Gold MC
140785528.5714,EMV Blue MC
72598744.2857,EMV Gold MC
84730331.4286,Magstripe-Blue MC
9687717.1429,EMV Gold MC
390415.7143,Magstripe-Blue MC
54440344.2857,Platinum Visa
38487900.0,EMV Gold MC
23458285.7143,Platinum Visa
45200344.2857,Platinum Visa
