CUSTOMER_ID,SAVINGS_ACCOUNT_INDICATOR,CHECKING_ACCOUNT_INDICATOR,TIME_DEPOSIT_ACCOUNT_INDICATOR,AUTO_LOAN_INDICATOR,HOUSING_LOAN_INDICATOR,PERSONAL_LOAN_INDICATOR,BB_LOAN_INDICATOR,LIFE_INSURANCE_INDICATOR,NONLIFE_INSURANCE_INDICATOR,INVESTMENT_INDICATOR,CURRENT_MONTH
19142.8571,1,1,0,0,0,0,0,1,1,1,10/2023
72130.0,1,1,0,0,0,1,1,1,1,0,10/2023
119600.0,1,1,0,0,0,1,0,1,1,0,10/2023
180657.1429,1,0,0,1,0,1,0,1,1,0,10/2023
390415.7143,1,0,0,0,0,1,1,1,0,0,10/2023
495045.7143,1,0,0,0,0,0,1,0,0,0,10/2023
505571.4286,1,0,0,1,0,1,1,0,0,0,10/2023
592328.5714,0,0,0,0,0,1,0,0,0,0,10/2023
615345.7143,1,1,0,0,0,0,0,0,0,0,10/2023
695885.7143,1,0,0,0,0,0,0,0,0,0,10/2023
742271.4286,1,0,0,0,0,0,0,1,0,0,10/2023
752157.1429,1,1,0,0,0,1,0,0,0,0,10/2023
819101.4286,1,0,0,0,0,1,0,0,0,0,10/2023
835728.5714,1,0,0,0,0,0,0,1,0,1,10/2023
1134002.8571,1,0,0,0,0,1,1,1,0,0,10/2023
1158160.0,1,0,0,0,0,1,1,1,0,1,10/2023
1291885.7143,1,0,0,0,0,0,0,0,0,0,10/2023
1306301.4286,1,0,0,0,0,1,1,1,0,0,10/2023
1383644.2857,1,1,0,0,0,1,1,0,0,0,10/2023
1464200.0,1,1,0,0,0,1,1,0,0,0,10/2023
1625615.7143,1,1,0,0,0,1,0,0,0,0,10/2023
1645500.0,1,0,0,0,0,1,0,0,0,0,10/2023
1835242.8571,0,1,0,0,0,1,1,0,0,0,10/2023
1920828.5714,1,0,0,0,0,1,0,0,0,0,10/2023
1958160.0,1,0,0,0,0,0,0,0,0,0,10/2023
2041830.0,1,0,0,0,0,0,0,0,0,0,10/2023
2287458.5714,0,1,0,0,0,0,0,0,0,0,10/2023
2334717.1429,0,0,0,0,0,1,1,0,0,0,10/2023
2374328.5714,1,1,0,1,0,1,0,1,0,1,10/2023
2441288.5714,1,1,0,0,0,1,1,1,1,0,10/2023
2609215.7143,1,1,0,0,0,1,0,1,0,0,10/2023
2615244.2857,1,0,0,0,0,0,0,0,0,0,10/2023
2698472.8571,1,0,0,0,0,0,1,0,0,0,10/2023
2718572.8571,1,0,0,0,0,1,0,0,0,0,10/2023
2800314.2857,1,1,0,0,0,1,0,0,0,0,10/2023
2803160.0,1,0,0,0,0,1,1,0,0,0,10/2023
2915717.1429,1,0,0,0,0,0,0,0,0,0,10/2023
3181072.8571,1,1,0,0,0,1,1,1,1,0,10/2023
3214757.1429,1,1,1,0,0,0,0,0,0,1,10/2023
3238658.5714,1,1,0,0,0,0,0,0,0,0,10/2023
3420228.5714,1,0,0,1,0,1,0,1,1,0,10/2023
3476731.4286,0,0,0,0,0,1,1,0,0,0,10/2023
3549028.5714,1,0,0,0,0,1,0,1,1,0,10/2023
3926902.8571,1,1,0,0,0,1,0,0,0,0,10/2023
4159571.4286,1,1,0,0,0,1,0,0,0,1,10/2023
4246830.0,1,0,0,0,0,1,0,0,0,0,10/2023
4264074.2857,1,1,0,0,0,0,1,0,0,0,10/2023
4278788.5714,1,0,0,0,0,0,0,0,0,0,10/2023
4303328.5714,0,1,0,0,0,1,0,1,0,1,10/2023
4384144.2857,1,0,0,0,0,1,0,1,0,1,10/2023
4419457.1429,1,0,0,0,0,0,0,0,0,1,10/2023
4447471.4286,1,1,0,0,0,0,0,1,0,0,10/2023
4574044.2857,1,1,0,0,0,1,0,1,0,1,10/2023
4676317.1429,1,1,0,0,0,0,0,1,1,0,10/2023
4799257.1429,1,1,0,0,0,1,0,0,0,0,10/2023
4867601.4286,0,1,0,0,0,1,0,0,0,0,10/2023
5066458.5714,1,0,0,0,1,1,1,1,0,0,10/2023
5113172.8571,1,1,0,0,0,0,1,0,0,0,10/2023
5221114.2857,1,1,0,0,0,0,0,0,0,0,10/2023
5262544.2857,1,0,0,0,0,1,0,0,0,0,10/2023
5365188.5714,1,0,0,1,0,1,0,1,0,0,10/2023
5382257.1429,0,0,0,0,0,0,1,0,0,0,10/2023
5399931.4286,0,0,0,0,0,1,0,0,0,0,10/2023
5515058.5714,1,0,0,0,0,1,1,0,0,0,10/2023
5623342.8571,1,1,1,1,0,1,1,1,1,0,10/2023
5644144.2857,1,0,0,0,0,0,0,0,0,0,10/2023
5688014.2857,0,1,0,0,0,1,0,1,1,0,10/2023
5866914.2857,1,0,0,0,0,0,0,1,0,0,10/2023
5925730.0,0,0,0,0,0,1,0,0,0,0,10/2023
5936888.5714,1,1,0,1,0,0,1,0,0,1,10/2023
6005715.7143,1,0,0,0,0,1,0,1,0,0,10/2023
6280174.2857,1,0,0,0,0,1,0,0,0,0,10/2023
6302342.8571,1,0,0,0,0,0,0,0,0,0,10/2023
6388200.0,1,1,0,0,0,0,0,0,0,0,10/2023
6433901.4286,1,1,0,0,0,1,0,1,1,0,10/2023
6479071.4286,1,1,0,0,0,1,0,0,0,0,10/2023
6618830.0,1,1,0,0,0,1,0,0,0,0,10/2023
6648557.1429,1,0,0,0,0,0,0,0,0,0,10/2023
6907858.5714,0,1,0,0,0,1,0,1,1,0,10/2023
7090628.5714,1,1,0,0,1,1,0,0,0,1,10/2023
7169628.5714,1,1,0,0,0,1,0,0,0,0,10/2023
7242671.4286,1,1,0,0,0,1,0,1,0,0,10/2023
7281014.2857,1,1,0,0,1,1,0,1,0,0,10/2023
7318142.8571,1,1,1,0,0,0,0,0,0,1,10/2023
7384130.0,1,1,0,0,0,1,1,0,0,0,10/2023
7488744.2857,1,1,0,0,0,1,1,0,0,0,10/2023
7642315.7143,0,1,0,0,0,0,0,0,0,0,10/2023
