CUSTOMER_ID,CARD_TYPE
292860.0,EMV Gold MC
292860.0,Regular Visa
1893217.1429,EMV Petron
1893217.1429,E-Credit
7098372.8571,Magstripe-Blue MC
7098372.8571,E-Credit
9963345.7143,E-Credit
9963345.7143,Regular Visa
16506500.0,E-Credit
16506500.0,EMV Blue MC
22071700.0,Platinum Visa
22071700.0,EMV Gold MC
26993987.1429,Regular Visa
26993987.1429,Magstripe-Blue MC
27124342.8571,E-Credit
27124342.8571,EMV Gold MC
32404488.5714,E-Credit
32404488.5714,Magstripe-Blue MC
50604972.8571,EMV Blue MC
50604972.8571,E-Credit
69195474.2857,Magstripe-Blue MC
69195474.2857,E-Credit
76839244.2857,E-Credit
76839244.2857,BPI Platinum Rewards MC
82296231.4286,E-Credit
82296231.4286,Magstripe-Blue MC
95165360.0,E-Credit
95165360.0,Magstripe-Blue MC
100491244.2857,E-Credit
100491244.2857,EMV Gold MC
102263344.2857,EMV Gold MC
102263344.2857,Regular Visa
104488230.0,Magstripe-Blue MC
104488230.0,Regular Visa
111416374.2857,E-Credit
111416374.2857,Magstripe-Blue MC
112486842.8571,EMV Blue MC
112486842.8571,Regular Visa
116257802.8571,E-Credit
116257802.8571,Magstripe-Blue MC
130284074.2857,E-Credit
130284074.2857,Magstripe-Blue MC
131274501.4286,EMV Gold MC
131274501.4286,Platinum Visa
