CUSTOMER_ID,CARD_TYPE
103067944.2857,EMV Gold MC
87384588.5714,Magstripe-Blue MC
40528571.4286,EMV Gold MC
11732385.7143,EMV Gold MC
30175217.1429,EMV Gold MC
125921730.0,EMV Gold MC
103956614.2857,EMV Gold MC
116594428.5714,EMV Gold MC
86871972.8571,EMV Petron
28828717.1429,EMV Blue MC
43723728.5714,EMV Gold MC
2682285.7143,EMV Gold MC
133272314.2857,EMV Gold MC
11593557.1429,BPI Signature Visa
73983872.8571,Magstripe-Blue MC
89676002.8571,EMV Blue MC
88072514.2857,BPI Platinum Rewards MC
84293772.8571,Magstripe-Blue MC
129852874.2857,EMV Petron
8429774.2857,Magstripe-Blue MC
8046128.5714,EMV Gold MC
121632472.8571,EMV Blue MC
45613000.0,EMV Gold MC
94846957.1429,EMV Gold MC
81226901.4286,Magstripe-Blue MC
81540701.4286,EMV Gold MC
24310944.2857,EMV Petron
129217015.7143,Magstripe-Blue MC
94684857.1429,EMV Gold MC
47138271.4286,Magstripe-Blue MC
122855658.5714,EMV Gold MC
127274272.8571,EMV Gold MC
101192201.4286,EMV Gold MC
33677631.4286,Magstripe-Blue MC
121300902.8571,EMV Gold MC
44266860.0,Regular Visa
71923160.0,Magstripe-Blue MC
53659358.5714,Regular Visa
133732801.4286,Platinum Visa
45751628.5714,BPI Platinum Rewards MC
48028015.7143,Regular Visa
40105942.8571,EMV Gold MC
120019731.4286,Regular Visa
82958487.1429,Magstripe-Blue MC
32290760.0,Magstripe-Blue MC
92002917.1429,BPI Platinum Rewards MC
88268717.1429,Regular Visa
126074801.4286,Regular Visa
139118387.1429,BPI Platinum Rewards MC
39517602.8571,EMV Petron
110020685.7143,Regular Visa
78891928.5714,EMV Gold MC
119904585.7143,EMV Gold MC
27983714.2857,EMV Gold MC
28383815.7143,Magstripe-Blue MC
109641571.4286,EMV Gold MC
135350745.7143,Magstripe-Blue MC
109567400.0,E-Credit
18582788.5714,BPI Signature Visa
90631358.5714,EMV Petron
100555371.4286,EMV Gold MC
57685928.5714,EMV Blue MC
79687314.2857,EMV BPI Edge
113745060.0,EMV Gold MC
27336687.1429,BPI Signature Visa
21736157.1429,EMV Gold MC
55188731.4286,EMV Blue MC
20525215.7143,EMV Petron
13598372.8571,EMV Gold MC
89012372.8571,EMV Gold MC
93532342.8571,E-Credit
15079785.7143,EMV Gold MC
3783757.1429,EMV Gold MC
118035585.7143,Regular Visa
85136371.4286,EMV Petron
90269372.8571,EMV Gold MC
138781501.4286,EMV Blue MC
128562830.0,EMV Blue MC
80935142.8571,EMV Gold MC
85919428.5714,EMV Gold MC
31776487.1429,Magstripe-Blue MC
2856600.0,EMV Gold MC
104192442.8571,EMV Gold MC
45751628.5714,BPI Signature Visa
17008244.2857,E-Credit
34896230.0,EMV Blue MC
30396630.0,EMV Gold MC
131259357.1429,EMV Gold MC
70312872.8571,EMV Blue MC
9002330.0,Magstripe-Blue MC
103425242.8571,Magstripe-Blue MC
60990687.1429,EMV Blue MC
30018715.7143,EMV Blue MC
52500057.1429,BPI Signature Visa
40908257.1429,Magstripe-Blue MC
64958342.8571,BPI Signature Visa
29089657.1429,EMV Blue MC
138579700.0,EMV Gold MC
58624787.1429,Magstripe-Blue MC
120170685.7143,EMV Petron
527630.0,Magstripe-Blue MC
67304857.1429,BPI Signature Visa
43069630.0,EMV Blue MC
75850360.0,Magstripe-Blue MC
85261045.7143,Magstripe-Blue MC
112545400.0,EMV Petron
127094772.8571,Magstripe-Blue MC
123699242.8571,EMV Blue MC
131557657.1429,EMV Blue MC
142338657.1429,EMV Blue MC
86754572.8571,EMV Blue MC
51216744.2857,Magstripe-Blue MC
19617617.1429,Magstripe-Blue MC
63703114.2857,EMV Blue MC
62856301.4286,EMV Blue MC
92043244.2857,EMV Blue MC
131530901.4286,EMV Blue MC
2865771.4286,EMV Blue MC
85479488.5714,Magstripe-Blue MC
72217474.2857,EMV Gold MC
119906644.2857,EMV Gold MC
71704628.5714,EMV Gold MC
82255931.4286,BPI Signature Visa
115557142.8571,EMV Gold MC
28656130.0,EMV Gold MC
68887288.5714,EMV Gold MC
123991185.7143,BPI Signature Visa
73685971.4286,EMV Gold MC
27983714.2857,E-Credit
68197757.1429,EMV Gold MC
32350442.8571,Platinum Visa
35118142.8571,EMV Gold MC
63514614.2857,EMV Gold MC
118991145.7143,EMV Gold MC
120543415.7143,Regular Visa
21736157.1429,E-Credit
65079588.5714,Regular Visa
1785774.2857,Platinum Visa
76820745.7143,Regular Visa
71588830.0,E-Credit
81286902.8571,BPI Platinum Rewards MC
74056587.1429,E-Credit
134775000.0,E-Credit
134775000.0,EMV Gold MC
