CUSTOMER_ID,CARD_TYPE
2682285.7143,EMV Gold MC
2682285.7143,E-Credit
3783757.1429,EMV Petron
3783757.1429,EMV Gold MC
7983287.1429,EMV BPI Edge
7983287.1429,EMV Blue MC
8429774.2857,Magstripe-Blue MC
8429774.2857,E-Credit
9759142.8571,Platinum Visa
9759142.8571,EMV Gold MC
13092042.8571,E-Credit
13092042.8571,Magstripe-Blue MC
17008244.2857,Magstripe-Blue MC
17008244.2857,E-Credit
18152158.5714,Magstripe-Blue MC
18152158.5714,EMV Gold MC
18954345.7143,Regular Visa
18954345.7143,Magstripe-Blue MC
21736157.1429,EMV Gold MC
21736157.1429,E-Credit
21736157.1429,Regular Visa
24102857.1429,EMV Gold MC
24102857.1429,E-Credit
27983714.2857,EMV Gold MC
27983714.2857,E-Credit
30018715.7143,E-Credit
30018715.7143,EMV Blue MC
31372317.1429,Magstripe-Blue MC
31372317.1429,E-Credit
32350442.8571,BPI Signature Visa
32350442.8571,Platinum Visa
34367085.7143,EMV Gold MC
34367085.7143,EMV Petron
34896230.0,E-Credit
34896230.0,EMV Blue MC
39517602.8571,EMV Petron
39517602.8571,Magstripe-Blue MC
40922885.7143,BPI Platinum Rewards MC
40922885.7143,EMV Petron
41244445.7143,E-Credit
41244445.7143,Magstripe-Blue MC
42946045.7143,E-Credit
42946045.7143,EMV Gold MC
43295944.2857,E-Credit
43295944.2857,EMV Petron
44190128.5714,EMV Gold MC
44190128.5714,E-Credit
44680601.4286,Magstripe-Blue MC
44680601.4286,E-Credit
45751628.5714,BPI Platinum Rewards MC
45751628.5714,BPI Signature Visa
52500057.1429,BPI Signature Visa
52500057.1429,BPI Platinum Rewards MC
59145300.0,E-Credit
59145300.0,Magstripe-Blue MC
60207917.1429,Magstripe-Blue MC
60207917.1429,E-Credit
66730728.5714,BPI Signature Visa
66730728.5714,EMV Gold MC
66838142.8571,EMV Gold MC
66838142.8571,EMV Petron
66838142.8571,Platinum Visa
67304857.1429,EMV Gold MC
67304857.1429,EMV Petron
67304857.1429,BPI Signature Visa
67304857.1429,Platinum Visa
68197757.1429,E-Credit
68197757.1429,EMV Gold MC
68508474.2857,Magstripe-Blue MC
68508474.2857,EMV Petron
68508474.2857,E-Credit
69200915.7143,E-Credit
69200915.7143,EMV Gold MC
71588830.0,BPI Platinum Rewards MC
71588830.0,E-Credit
73250188.5714,EMV Gold MC
73250188.5714,E-Credit
73983872.8571,E-Credit
73983872.8571,Magstripe-Blue MC
74056587.1429,E-Credit
74056587.1429,BPI Platinum Rewards MC
78891928.5714,EMV Gold MC
78891928.5714,E-Credit
79470201.4286,E-Credit
79470201.4286,BPI Platinum Rewards MC
79804771.4286,EMV Gold MC
79804771.4286,E-Credit
81223574.2857,E-Credit
81223574.2857,EMV Petron
81223574.2857,Magstripe-Blue MC
81226901.4286,E-Credit
81226901.4286,Magstripe-Blue MC
81448485.7143,EMV Gold MC
81448485.7143,E-Credit
84293772.8571,E-Credit
84293772.8571,Magstripe-Blue MC
84519731.4286,EMV Gold MC
84519731.4286,E-Credit
88562014.2857,EMV Petron
88562014.2857,Regular Visa
88562014.2857,EMV Gold MC
89242202.8571,BPI Signature Visa
89242202.8571,E-Credit
90269372.8571,BPI Signature Visa
90269372.8571,EMV Gold MC
91193357.1429,Regular Visa
91193357.1429,EMV Petron
92002917.1429,BPI Signature Visa
92002917.1429,BPI Platinum Rewards MC
92535372.8571,E-Credit
92535372.8571,EMV Gold MC
93532342.8571,E-Credit
93532342.8571,EMV Petron
101418857.1429,EMV Blue MC
101418857.1429,E-Credit
103067944.2857,EMV Gold MC
103067944.2857,E-Credit
106390844.2857,Regular Visa
106390844.2857,E-Credit
109567400.0,E-Credit
109567400.0,EMV Gold MC
109570701.4286,EMV Gold MC
109570701.4286,E-Credit
110020685.7143,Regular Visa
110020685.7143,E-Credit
115557142.8571,E-Credit
115557142.8571,EMV Gold MC
116310200.0,BPI Signature Visa
116310200.0,EMV Gold MC
116357857.1429,EMV Petron
116357857.1429,EMV Blue MC
118035585.7143,EMV Gold MC
118035585.7143,E-Credit
118035585.7143,Regular Visa
119732857.1429,E-Credit
119732857.1429,EMV Gold MC
123991185.7143,EMV Petron
123991185.7143,BPI Signature Visa
124305460.0,EMV Petron
124305460.0,E-Credit
128562830.0,E-Credit
128562830.0,EMV Blue MC
130363587.1429,E-Credit
130363587.1429,EMV Blue MC
132136185.7143,EMV Petron
132136185.7143,EMV Gold MC
132191888.5714,Regular Visa
132191888.5714,EMV Gold MC
134473285.7143,EMV Gold MC
134473285.7143,E-Credit
134775000.0,E-Credit
134775000.0,EMV Gold MC
135350745.7143,E-Credit
135350745.7143,Magstripe-Blue MC
139118387.1429,BPI Platinum Rewards MC
139118387.1429,E-Credit
139410287.1429,Magstripe-Blue MC
139410287.1429,E-Credit
140757285.7143,EMV Gold MC
140757285.7143,E-Credit
