CUSTOMER_ID,SAVINGS_ACCOUNT_INDICATOR,CHECKING_ACCOUNT_INDICATOR,TIME_DEPOSIT_ACCOUNT_INDICATOR,AUTO_LOAN_INDICATOR,HOUSING_LOAN_INDICATOR,PERSONAL_LOAN_INDICATOR,BB_LOAN_INDICATOR,LIFE_INSURANCE_INDICATOR,NONLIFE_INSURANCE_INDICATOR,INVESTMENT_INDICATOR,CURRENT_MONTH
61588.5714,0,0,1,0,0,0,0,1,0,0,10/2023
88985.7143,1,0,0,0,0,0,0,0,0,0,10/2023
104114.2857,1,0,0,0,0,0,0,0,0,0,10/2023
129115.7143,1,1,0,0,0,1,0,1,0,0,10/2023
146901.4286,1,0,0,0,0,0,0,0,0,0,10/2023
276272.8571,1,0,0,0,0,1,0,1,1,0,10/2023
277002.8571,1,0,0,0,0,0,0,0,0,0,10/2023
278285.7143,1,1,0,0,0,0,1,0,0,0,10/2023
470930.0,0,1,0,0,0,1,0,0,0,0,10/2023
527630.0,1,0,0,0,1,1,0,0,0,0,10/2023
536215.7143,0,0,0,0,0,1,0,0,0,0,10/2023
619930.0,1,0,0,0,1,0,0,0,0,0,10/2023
652431.4286,1,1,0,0,0,0,0,1,1,0,10/2023
675685.7143,1,0,0,0,0,1,0,1,0,0,10/2023
739285.7143,0,0,0,0,0,1,0,0,0,0,10/2023
843500.0,0,0,0,0,1,1,0,1,1,0,10/2023
944258.5714,1,0,0,0,0,0,0,0,0,0,10/2023
1159658.5714,0,1,0,0,0,0,0,0,0,0,10/2023
1169585.7143,1,0,0,0,0,0,0,0,0,0,10/2023
1236002.8571,1,0,0,0,0,0,0,1,0,0,10/2023
1237760.0,1,0,0,0,0,1,0,0,0,0,10/2023
1326202.8571,1,0,0,0,0,0,0,0,0,0,10/2023
1364874.2857,1,0,0,0,0,1,0,0,0,0,10/2023
1414272.8571,1,0,0,0,0,1,0,0,0,0,10/2023
1474544.2857,1,1,0,0,0,1,1,1,0,0,10/2023
1481888.5714,0,0,0,0,0,1,0,0,0,0,10/2023
1555502.8571,0,0,0,0,0,1,0,0,0,0,10/2023
1648372.8571,1,0,0,0,0,0,0,0,0,0,10/2023
1785774.2857,0,0,0,0,0,1,0,0,0,0,10/2023
1850358.5714,1,0,0,0,0,0,0,0,0,0,10/2023
1925860.0,0,0,0,0,0,1,0,0,0,0,10/2023
1997602.8571,1,0,0,0,0,0,0,0,0,0,10/2023
1998857.1429,1,0,0,0,0,1,0,0,0,0,10/2023
2089201.4286,1,0,0,0,0,1,0,0,0,0,10/2023
2175800.0,0,1,0,0,1,1,0,1,1,0,10/2023
2193387.1429,1,0,0,0,0,0,0,0,0,0,10/2023
2433285.7143,1,0,0,0,0,0,0,0,0,0,10/2023
2516074.2857,1,0,0,0,0,1,1,0,0,0,10/2023
2540730.0,0,0,0,0,0,0,1,0,0,0,10/2023
2559415.7143,1,0,0,0,0,1,0,0,0,0,10/2023
2633700.0,1,0,0,0,0,1,0,0,0,0,10/2023
2682285.7143,1,1,0,0,0,1,0,0,0,1,10/2023
2711431.4286,1,0,0,0,0,1,0,0,0,0,10/2023
2856600.0,1,0,0,0,0,1,0,0,0,0,10/2023
2865771.4286,1,0,0,0,0,1,0,0,0,0,10/2023
2979542.8571,0,0,0,0,0,0,0,0,0,0,10/2023
3097028.5714,1,1,0,0,0,1,0,1,0,0,10/2023
3111000.0,1,0,0,1,0,1,1,1,1,0,10/2023
3155915.7143,0,1,0,0,0,0,0,0,0,0,10/2023
3265601.4286,1,0,0,1,0,0,0,0,0,0,10/2023
