CUSTOMER_ID,GENDER,AGE,MARITAL_STATUS,EDUCATION,BANK_TENURE,CUSTOMER_LOCATION,DIGITAL_INDICATOR,SEC,HOME_OWNER_INDICATOR,CAR_OWNER_INDICATOR,MONTHLY_INCOME,INCOME_SOURCE,ENVIRONMENTAL_AFF_INDICATOR,HUMANITARIAN_AFF_INDICATOR,OF_INDICATOR,RETIREES_INDICATOR,FILCHI_INDICATOR
41670415.7143,MALE,81.83,MARRIED,MID,5.48,REGION XII (SOCCSKSARGEN),TRADITIONAL,A,N,N,239464.2,BUSINESS,N,N,N,Y,N
127629701.4286,MALE,68,MARRIED,MID,5.28,REGION IV-A (CALABARZON),DIGITAL,A,N,N,238931,BUSINESS,N,N,Y,Y,N
126556874.2857,FEMALE,46.7,SINGLE,MID,4.14,REGION IV-A (CALABARZON),DIGITAL,A,N,N,238656.07,BUSINESS,N,N,N,N,N
109570701.4286,MALE,39.46,MARRIED,MID,7.91,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,238507.3,BUSINESS,N,N,Y,N,N
113701917.1429,FEMALE,56.32,SINGLE,MID,1.92,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,237898.98,BUSINESS,N,N,N,N,N
131557657.1429,FEMALE,53.37,MARRIED,MID,17.82,REGION III (CENTRAL LUZON),DIGITAL,A,N,N,237753.32,BUSINESS,N,N,N,N,N
13412617.1429,FEMALE,44.13,SINGLE,MID,0.96,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,N,237496.41,BUSINESS,N,N,Y,N,N
83045017.1429,FEMALE,52.69,SINGLE,MID,5.49,REGION XI (DAVAO REGION),DIGITAL,A,N,N,237267.65,BUSINESS,N,N,N,N,Y
7319044.2857,MALE,45.84,SINGLE,MID,12.34,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,N,236755.91,BUSINESS,N,N,N,N,N
51158430,MALE,44.71,MARRIED,LOW,15.9,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,N,236750.76,BUSINESS,N,N,Y,N,N
85113158.5714,MALE,63.83,MARRIED,MID,13.69,REGION XI (DAVAO REGION),TRADITIONAL,A,N,Y,236690.76,BUSINESS,N,N,N,Y,Y
88562014.2857,FEMALE,63.09,MARRIED,MID,27.49,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,Y,236362.43,BUSINESS,N,N,Y,Y,Y
52261372.8571,MALE,45.01,MARRIED,HIGH,9.65,NATIONAL CAPITAL REGION,DIGITAL,A,Y,Y,236214.03,BUSINESS,N,N,Y,N,N
50381442.8571,MALE,65.77,MARRIED,HIGH,24.99,REGION X (NORTHERN MINDANAO),TRADITIONAL,A,Y,Y,235858.08,BUSINESS,N,N,Y,Y,N
52747800,FEMALE,46.43,MARRIED,MID,18.84,REGION XI (DAVAO REGION),TRADITIONAL,A,N,N,235190.54,BUSINESS,N,N,Y,N,N
22362431.4286,FEMALE,46.69,SINGLE,MID,5.19,REGION IV-A (CALABARZON),TRADITIONAL,A,N,N,234960.35,BUSINESS,N,N,N,N,N
89533314.2857,MALE,74.1,MARRIED,MID,22.32,REGION XI (DAVAO REGION),TRADITIONAL,A,N,N,234665.76,BUSINESS,N,N,Y,Y,Y
135056888.5714,FEMALE,34.99,SINGLE,NO_DATA,1.92,REGION I (ILOCOS REGION),TRADITIONAL,A,N,N,233828.15,BUSINESS,N,N,N,N,N
80352158.5714,FEMALE,60.19,MARRIED,MID,11.92,REGION XI (DAVAO REGION),TRADITIONAL,A,N,Y,233556.6,BUSINESS,N,N,N,Y,N
65059342.8571,FEMALE,48.68,MARRIED,HIGH,21.23,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,233142.47,BUSINESS,N,N,Y,N,N
2633700,MALE,36.82,MARRIED,MID,15.28,NATIONAL CAPITAL REGION,TRADITIONAL,A,N,Y,233085.49,BUSINESS,N,N,N,N,N
87432930,MALE,41.32,MARRIED,MID,9.48,REGION IX (ZAMBOANGA PENINSULA),DIGITAL,A,N,N,232499.32,BUSINESS,N,N,N,N,N
13192801.4286,FEMALE,38.52,MARRIED,MID,9.12,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,232261.92,BUSINESS,N,N,N,N,N
66071428.5714,MALE,50.9,MARRIED,MID,26.28,REGION IV-A (CALABARZON),DIGITAL,A,N,Y,232020.7,BUSINESS,N,N,Y,N,N
19253300,FEMALE,56.96,MARRIED,MID,24.53,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,231879.59,BUSINESS,N,N,Y,N,N
30247088.5714,NO_DATA,\N,NO_DATA,NO_DATA,\N,NO_DATA,NO_DATA,A,N,N,231837.67,BUSINESS,N,N,N,N,N
41244445.7143,FEMALE,30.12,SINGLE,LOW,6.29,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,231761.86,BUSINESS,N,N,N,N,N
75215672.8571,FEMALE,40.69,MARRIED,MID,8.52,NATIONAL CAPITAL REGION,DIGITAL,A,Y,N,230000.69,BUSINESS,N,N,Y,N,N
117544160,MALE,62.64,SINGLE,LOW,3.07,NO_DATA,NO_DATA,A,N,N,229166.5,BUSINESS,N,N,Y,Y,N
16586714.2857,FEMALE,70.93,SINGLE,HIGH,28.24,REGION XI (DAVAO REGION),TRADITIONAL,A,Y,N,228460.85,BUSINESS,N,N,Y,Y,N
93532342.8571,FEMALE,41.03,SINGLE,MID,21.39,REGION VI (WESTERN VISAYAS),DIGITAL,A,N,Y,228306.13,BUSINESS,N,N,Y,N,Y
20614385.7143,FEMALE,40.11,MARRIED,MID,19.89,REGION XII (SOCCSKSARGEN),DIGITAL,A,N,N,228140.34,BUSINESS,N,N,N,N,N
104990174.2857,FEMALE,41.05,MARRIED,MID,3.27,REGION X (NORTHERN MINDANAO),TRADITIONAL,A,N,N,227485.72,BUSINESS,N,N,Y,N,N
115957657.1429,MALE,58.32,MARRIED,MID,17.77,REGION IX (ZAMBOANGA PENINSULA),TRADITIONAL,A,N,N,227412.49,BUSINESS,N,N,Y,N,N
81137015.7143,MALE,65.69,MARRIED,LOW,15.09,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,227318.33,BUSINESS,N,N,Y,Y,N
116329215.7143,FEMALE,36.63,SINGLE,LOW,10.52,NATIONAL CAPITAL REGION,DIGITAL,A,N,N,227130.01,BUSINESS,N,N,N,N,N
101192201.4286,FEMALE,28.76,SINGLE,MID,9.34,REGION XI (DAVAO REGION),DIGITAL,A,N,N,226037.56,BUSINESS,N,N,Y,N,N
141549728.5714,MALE,48.27,MARRIED,MID,24.39,REGION XI (DAVAO REGION),DIGITAL,B1,N,N,223319.24,BUSINESS,N,N,Y,N,N
116786717.1429,FEMALE,48.77,MARRIED,MID,5.3,REGION XI (DAVAO REGION),TRADITIONAL,B1,N,N,223124.22,BUSINESS,N,N,N,N,N
84519731.4286,FEMALE,32.61,MARRIED,MID,5.13,REGION III (CENTRAL LUZON),DIGITAL,B1,N,N,222908.78,BUSINESS,N,N,N,N,N
53424557.1429,FEMALE,58.73,MARRIED,MID,14.53,REGION IV-A (CALABARZON),TRADITIONAL,B1,N,N,222281.89,BUSINESS,N,N,N,N,N
96170900,FEMALE,48.66,MARRIED,LOW,21.07,NATIONAL CAPITAL REGION,TRADITIONAL,B1,Y,N,222209.43,BUSINESS,N,N,N,N,N
31576714.2857,MALE,68.83,MARRIED,MID,28.14,NATIONAL CAPITAL REGION,DIGITAL,B1,N,N,221859.47,BUSINESS,N,N,Y,Y,N
140757285.7143,FEMALE,58.1,MARRIED,HIGH,22.48,REGION IV-A (CALABARZON),TRADITIONAL,B1,Y,Y,221747.08,BUSINESS,N,N,N,Y,N
40908257.1429,MALE,40.59,SINGLE,MID,15.97,REGION VI (WESTERN VISAYAS),TRADITIONAL,B1,N,N,221401.15,BUSINESS,N,N,N,N,N
109592945.7143,FEMALE,42.28,MARRIED,MID,0.86,NO_DATA,NO_DATA,B1,N,N,220000.28,BUSINESS,N,N,N,N,N
53521917.1429,MALE,34.83,MARRIED,NO_DATA,0.34,REGION XI (DAVAO REGION),TRADITIONAL,B1,N,N,219653.26,BUSINESS,N,N,N,N,N
115649544.2857,MALE,47.27,MARRIED,MID,7.45,MIMAROPA REGION,DIGITAL,B1,Y,Y,219433.87,BUSINESS,N,N,N,N,N
79416542.8571,FEMALE,46.3,MARRIED,MID,14.96,CORDILLERA ADMINISTRATIVE REGION (CAR),TRADITIONAL,B1,N,N,219299.3,BUSINESS,N,N,N,N,N
57388042.8571,FEMALE,43.39,MARRIED,MID,21.91,NATIONAL CAPITAL REGION,DIGITAL,B1,Y,N,219264.35,BUSINESS,N,N,N,N,N
71640328.5714,FEMALE,58.3,SINGLE,HIGH,24.37,NATIONAL CAPITAL REGION,TRADITIONAL,B1,N,N,219004.23,BUSINESS,N,N,N,N,N
31085985.7143,FEMALE,55.68,MARRIED,MID,15.57,REGION VI (WESTERN VISAYAS),DIGITAL,B1,N,N,218652.33,BUSINESS,N,N,Y,N,N
73903642.8571,MALE,47.85,SINGLE,MID,19.55,REGION IV-A (CALABARZON),DIGITAL,B1,Y,Y,218515.22,BUSINESS,N,N,N,N,N
98528745.7143,FEMALE,29.9,MARRIED,MID,5.14,REGION IV-A (CALABARZON),DIGITAL,B1,N,N,218384.34,BUSINESS,N,N,Y,N,N
