CUSTOMER_ID,CARD_TYPE
131883588.5714,Magstripe-Blue MC
78319157.1429,EMV Gold MC
125162857.1429,BPI Signature Visa
125162857.1429,BPI Signature Visa
125162857.1429,BPI Signature Visa
22830442.8571,BPI Signature Visa
125162857.1429,BPI Signature Visa
125162857.1429,BPI Signature Visa
125162857.1429,BPI Signature Visa
125162857.1429,BPI Signature Visa
76707371.4286,EMV Gold MC
76707371.4286,EMV Gold MC
85345342.8571,EMV Gold MC
85345342.8571,EMV Gold MC
85345342.8571,EMV Gold MC
85345342.8571,EMV Gold MC
85345342.8571,EMV Gold MC
12040458.5714,EMV Gold MC
12040458.5714,EMV Gold MC
12040458.5714,EMV Gold MC
138686000.0,EMV Gold MC
110561687.1429,Regular Visa
110561687.1429,Regular Visa
81919002.8571,Magstripe-Blue MC
103115930.0,BPI Signature Visa
73926571.4286,BPI Signature Visa
84785072.8571,EMV Gold MC
37048142.8571,BPI Signature Visa
31980142.8571,EMV Petron
37048142.8571,BPI Signature Visa
23709460.0,Platinum Visa
48900515.7143,EMV Gold MC
37114745.7143,EMV Gold MC
40020942.8571,EMV Gold MC
68166771.4286,BPI Signature Visa
68166771.4286,BPI Signature Visa
125761257.1429,EMV Gold MC
36109745.7143,Magstripe-Blue MC
11179174.2857,EMV Gold MC
112678542.8571,EMV Petron
11179174.2857,EMV Gold MC
11179174.2857,EMV Gold MC
137494330.0,EMV Gold MC
137494330.0,EMV Gold MC
11179174.2857,EMV Gold MC
61307158.5714,BPI Platinum Rewards MC
61307158.5714,BPI Platinum Rewards MC
119383300.0,EMV Gold MC
112678542.8571,EMV Petron
112678542.8571,EMV Petron
10782072.8571,BPI Signature Visa
122111888.5714,BPI Platinum Rewards MC
122111888.5714,BPI Platinum Rewards MC
122111888.5714,BPI Platinum Rewards MC
99880057.1429,EMV Gold MC
99880057.1429,EMV Gold MC
99880057.1429,EMV Gold MC
46341614.2857,BPI Signature Visa
142189714.2857,EMV Gold MC
24848314.2857,Platinum Visa
24848314.2857,Platinum Visa
24848314.2857,Platinum Visa
24848314.2857,Platinum Visa
38178044.2857,EMV Blue MC
90804371.4286,EMV Gold MC
38502185.7143,EMV Gold MC
38502185.7143,EMV Gold MC
110879645.7143,BPI Platinum Rewards MC
110879645.7143,BPI Platinum Rewards MC
110879645.7143,BPI Platinum Rewards MC
91352000.0,EMV Gold MC
91352000.0,EMV Gold MC
135968485.7143,BPI Platinum Rewards MC
29995728.5714,EMV Blue MC
29995728.5714,EMV Blue MC
29995728.5714,EMV Blue MC
