CUSTOMER_ID,LOAN_ACCOUNT_ID,LOAN_STATUS,LOAN_BEHAVIOR,LOAN_TYPE,LOAN_AMOUNT,PRINCIPAL_LOAN_AMOUNT,INTEREST_EARNED,LOAN_START_DATE,MATURITY_DATE,,MSME TYPE
142849160,40861992.86,Active,Current,Personal Loans,110000.2,92135.71,0.45,2023-04-20T00:00:00.000,2026-04-20T00:00:00.000,,Small
142849160,40861992.86,Active,Current,Personal Loans,110000.87,89716.42,1.12,2023-04-20T00:00:00.000,2026-04-20T00:00:00.000,,Small
142849160,40861992.86,Active,Current,Personal Loans,109999.48,96880.66,-0.27,2023-04-20T00:00:00.000,2026-04-20T00:00:00.000,,Small
142849160,40861992.86,Active,Current,Personal Loans,109999.74,94565.13,-0.01,2023-04-20T00:00:00.000,2026-04-20T00:00:00.000,,Small
142849160,40861992.86,Active,Current,Personal Loans,109999.93,87242.15,0.18,2023-04-20T00:00:00.000,2026-04-20T00:00:00.000,,Small
142849160,40861992.86,Active,Amortization Past Due,Personal Loans,109999.82,87242.04,0.07,2023-04-20T00:00:00.000,2026-04-20T00:00:00.000,,Small
142849160,98983608.57,Active,Current,MTL,299998.78,299998.78,-1.02,2024-03-27T00:00:00.000,2027-03-27T00:00:00.000,,Small
141742902.9,116437921.4,Active,Principal Past Due,MTL,500001.38,411512.82,1.67,2021-10-14T00:00:00.000,2024-10-14T00:00:00.000,,Small
141742902.9,116437921.4,Active,Principal Past Due,MTL,500000.14,411511.58,0.43,2021-10-14T00:00:00.000,2024-10-14T00:00:00.000,,Small
141742902.9,116437921.4,Active,Principal Past Due,MTL,499999.92,411511.36,0.21,2021-10-14T00:00:00.000,2024-10-14T00:00:00.000,,Small
141742902.9,116437921.4,Active,Principal Past Due,MTL,499999.73,411511.17,0.02,2021-10-14T00:00:00.000,2024-10-14T00:00:00.000,,Small
141742902.9,116437921.4,Active,Principal Past Due,MTL,500000.75,411512.19,1.04,2021-10-14T00:00:00.000,2024-10-14T00:00:00.000,,Small
141742902.9,116437921.4,Active,Principal Past Due,MTL,500001.36,411512.8,1.65,2021-10-14T00:00:00.000,2024-10-14T00:00:00.000,,Small
141548930,12611421.43,Active,Current,Personal Loans,300001.21,227772.27,1.47,2023-06-29T00:00:00.000,2025-06-29T00:00:00.000,,Small
141548930,12611421.43,Active,Current,Personal Loans,300000.36,216607.86,0.62,2023-06-29T00:00:00.000,2025-06-29T00:00:00.000,,Small
141548930,12611421.43,Active,Current,Personal Loans,300001.21,216608.71,1.47,2023-06-29T00:00:00.000,2025-06-29T00:00:00.000,,Small
141548930,12611421.43,Active,Amortization Past Due,Personal Loans,300001.26,259999,1.52,2023-06-29T00:00:00.000,2025-06-29T00:00:00.000,,Small
141548930,12611421.43,Active,Current,Personal Loans,299999.26,259997,-0.48,2023-06-29T00:00:00.000,2025-06-29T00:00:00.000,,Small
141548930,12611421.43,Active,Current,Personal Loans,299999.43,238695.87,-0.32,2023-06-29T00:00:00.000,2025-06-29T00:00:00.000,,Small
141226001.4,136709992.9,Active,Current,Personal Loans,84997.94,64534.75,-1.81,2023-06-16T00:00:00.000,2025-06-16T00:00:00.000,,Small
141226001.4,136709992.9,Active,Current,Personal Loans,84999.34,58055.83,-0.41,2023-06-16T00:00:00.000,2025-06-16T00:00:00.000,,Small
141226001.4,136709992.9,Active,Current,Personal Loans,85001.43,73667.45,1.68,2023-06-16T00:00:00.000,2025-06-16T00:00:00.000,,Small
141226001.4,136709992.9,Active,Current,Personal Loans,84999.28,67629.93,-0.46,2023-06-16T00:00:00.000,2025-06-16T00:00:00.000,,Small
141226001.4,136709992.9,Active,Current,Personal Loans,85000.36,61374.2,0.61,2023-06-16T00:00:00.000,2025-06-16T00:00:00.000,,Small
141226001.4,136709992.9,Active,Current,Personal Loans,84998.92,70704.22,-0.82,2023-06-16T00:00:00.000,2025-06-16T00:00:00.000,,Small
140384044.3,48673151.43,Active,Current,Personal Loans,44999.36,39000.78,-0.38,2023-07-31T00:00:00.000,2025-07-31T00:00:00.000,,Small
140384044.3,48673151.43,Active,Current,Personal Loans,44999.31,39000.73,-0.43,2023-07-31T00:00:00.000,2025-07-31T00:00:00.000,,Small
140384044.3,48673151.43,Active,Current,Personal Loans,44999.21,34141.05,-0.54,2023-07-31T00:00:00.000,2025-07-31T00:00:00.000,,Small
140384044.3,48673151.43,Active,Current,Personal Loans,45000.55,34142.39,0.8,2023-07-31T00:00:00.000,2025-07-31T00:00:00.000,,Small
140384044.3,48673151.43,Active,Current,Personal Loans,45000.77,40564.09,1.02,2023-07-31T00:00:00.000,2025-07-31T00:00:00.000,,Small
140384044.3,48673151.43,Active,Current,Personal Loans,44999.43,35829.83,-0.32,2023-07-31T00:00:00.000,2025-07-31T00:00:00.000,,Small
139330945.7,135412308.6,Active,Current,MTL,1249998.91,1194835.74,-0.94,2023-12-29T00:00:00.000,2026-12-29T00:00:00.000,,Small
139330945.7,135412308.6,Active,Current,MTL,1249999.2,1194836.03,-0.65,2023-12-29T00:00:00.000,2026-12-29T00:00:00.000,,Small
139330945.7,135412308.6,Active,Current,MTL,1249998.55,1222591.54,-1.3,2023-12-29T00:00:00.000,2026-12-29T00:00:00.000,,Small
139330945.7,135412308.6,Active,Current,MTL,1249999.3,1249999.3,-0.55,2023-12-29T00:00:00.000,2026-12-29T00:00:00.000,,Small
139160258.6,111058037.1,Active,Current,Personal Loans,19999.39,19999.39,-0.32,2024-03-06T00:00:00.000,2025-03-06T00:00:00.000,,Small
138882031.4,107645850,Active,Current,Personal Loans,69999.51,50496.22,-0.23,2023-03-31T00:00:00.000,2025-03-31T00:00:00.000,,Small
138882031.4,107645850,Active,Current,Personal Loans,69999.32,50496.03,-0.42,2023-03-31T00:00:00.000,2025-03-31T00:00:00.000,,Small
