CUSTOMER_ID,GENDER,AGE,MARITAL_STATUS,EDUCATION,BANK_TENURE,CUSTOMER_LOCATION,DIGITAL_INDICATOR,SEC,HOME_OWNER_INDICATOR,CAR_OWNER_INDICATOR,MONTHLY_INCOME,INCOME_SOURCE,ENVIRONMENTAL_AFF_INDICATOR,HUMANITARIAN_AFF_INDICATOR,OF_INDICATOR,RETIREES_INDICATOR,FILCHI_INDICATOR
134729301.4286,FEMALE,54.87,MARRIED,MID,11.61,REGION III (CENTRAL LUZON),TRADITIONAL,C2,N,N,48998.87,BUSINESS,N,N,N,N,N
25097317.1429,FEMALE,26.85,SINGLE,MID,3.02,NATIONAL CAPITAL REGION,DIGITAL,C2,N,N,48903.17,BUSINESS,N,N,N,N,N
141836742.8571,MALE,66.23,MARRIED,MID,22.33,REGION III (CENTRAL LUZON),TRADITIONAL,B1,N,N,48894.71,BUSINESS,N,N,Y,Y,Y
127347842.8571,FEMALE,42.31,MARRIED,MID,15.9,NATIONAL CAPITAL REGION,DIGITAL,C1,Y,N,48679.99,BUSINESS,N,N,N,N,N
137123072.8571,FEMALE,49.22,MARRIED,MID,10.23,NATIONAL CAPITAL REGION,DIGITAL,C1,N,N,48578.12,BUSINESS,N,N,N,N,N
20840958.5714,MALE,29.49,SINGLE,LOW,7.5,REGION IV-A (CALABARZON),DIGITAL,B2,N,N,48466.52,BUSINESS,N,N,N,N,N
19762487.1429,MALE,56.11,MARRIED,LOW,10.48,REGION VI (WESTERN VISAYAS),TRADITIONAL,C2,N,N,48387.97,BUSINESS,N,N,N,N,N
122318044.2857,FEMALE,48.33,MARRIED,LOW,11.54,NATIONAL CAPITAL REGION,DIGITAL,C1,N,N,48334.71,BUSINESS,N,N,N,N,N
91371158.5714,FEMALE,40.83,MARRIED,MID,13.33,REGION III (CENTRAL LUZON),TRADITIONAL,C2,N,N,48319.87,BUSINESS,N,N,N,N,Y
132458801.4286,FEMALE,67.5,MARRIED,LOW,7.83,REGION XII (SOCCSKSARGEN),TRADITIONAL,C2,N,N,48158.5,BUSINESS,N,N,N,Y,N
126358615.7143,FEMALE,47.52,SINGLE,MID,11.24,REGION XIII (CARAGA),DIGITAL,C1,Y,N,48060.14,BUSINESS,N,N,N,N,N
14659371.4286,MALE,46.36,MARRIED,MID,17.73,REGION VIII (EASTERN VISAYAS),TRADITIONAL,B2,N,N,48039.11,BUSINESS,N,N,N,N,Y
734345.7143,FEMALE,37.06,MARRIED,NO_DATA,1.82,NO_DATA,NO_DATA,C2,N,N,48000.06,BUSINESS,N,N,N,N,N
85336874.2857,MALE,35.6,SINGLE,MID,4.11,NATIONAL CAPITAL REGION,TRADITIONAL,C2,N,N,47999.6,BUSINESS,N,N,N,N,N
121300372.8571,FEMALE,44.93,MARRIED,MID,11.16,REGION III (CENTRAL LUZON),TRADITIONAL,C2,N,N,47961.92,BUSINESS,N,N,N,N,N
71006414.2857,MALE,43.27,MARRIED,MID,13.84,REGION IV-A (CALABARZON),DIGITAL,B1,N,N,47782.52,BUSINESS,N,N,N,N,N
41521672.8571,FEMALE,35.66,SINGLE,MID,8.16,REGION XI (DAVAO REGION),DIGITAL,C2,N,N,47704.94,BUSINESS,N,N,N,N,N
52303687.1429,FEMALE,70.49,WIDOW(ER),MID,6.85,NO_DATA,NO_DATA,C2,Y,N,47691.49,BUSINESS,N,N,N,Y,N
65405658.5714,MALE,47.21,MARRIED,MID,7.83,REGION XI (DAVAO REGION),TRADITIONAL,C2,N,N,47582.79,BUSINESS,N,N,Y,N,N
98414128.5714,MALE,74.04,MARRIED,MID,15.13,REGION V (BICOL REGION),TRADITIONAL,C1,N,N,47560.37,BUSINESS,N,N,N,Y,N
57296830,FEMALE,28.55,SINGLE,MID,6.69,REGION III (CENTRAL LUZON),DIGITAL,C2,N,N,47402.18,BUSINESS,N,N,N,N,N
68435315.7143,MALE,42.72,MARRIED,MID,11.61,REGION III (CENTRAL LUZON),TRADITIONAL,C1,N,N,47370.41,BUSINESS,N,N,Y,N,N
139297572.8571,MALE,53.47,MARRIED,LOW,16.14,REGION III (CENTRAL LUZON),TRADITIONAL,B1,N,N,47339.51,BUSINESS,N,N,N,N,N
108151331.4286,MALE,32.79,MARRIED,MID,3.6,NO_DATA,NO_DATA,C2,N,N,47334.79,BUSINESS,N,N,N,N,N
5319015.7143,MALE,41.34,SINGLE,MID,12.24,REGION VI (WESTERN VISAYAS),TRADITIONAL,C1,N,N,47241.91,BUSINESS,N,N,N,N,N
24448945.7143,FEMALE,61.28,MARRIED,MID,0.76,NO_DATA,NO_DATA,C2,N,N,47143.28,BUSINESS,N,N,N,Y,N
51029801.4286,MALE,36.48,MARRIED,MID,10.23,REGION IV-A (CALABARZON),TRADITIONAL,B2,N,N,47143.06,BUSINESS,N,N,N,N,N
99033917.1429,FEMALE,58.85,MARRIED,NO_DATA,0.23,REGION VIII (EASTERN VISAYAS),TRADITIONAL,C1,N,N,47133.45,BUSINESS,N,N,N,Y,N
118408114.2857,MALE,61.05,MARRIED,MID,15.48,REGION IV-A (CALABARZON),TRADITIONAL,C2,Y,N,46852.74,BUSINESS,N,N,N,Y,N
27124342.8571,MALE,41.55,MARRIED,MID,22.8,REGION IV-A (CALABARZON),DIGITAL,B2,N,N,46679.12,BUSINESS,N,N,Y,N,N
40967774.2857,MALE,52.32,MARRIED,NO_DATA,2.84,NO_DATA,DIGITAL,C2,N,N,46667.99,BUSINESS,N,N,N,N,N
3506815.7143,MALE,64.92,MARRIED,MID,8.9,REGION XII (SOCCSKSARGEN),TRADITIONAL,C1,Y,Y,46667.58,BUSINESS,N,N,N,Y,N
120163971.4286,FEMALE,34.61,MARRIED,MID,13.97,NATIONAL CAPITAL REGION,DIGITAL,C2,N,Y,46665.28,BUSINESS,N,N,Y,N,N
95689371.4286,FEMALE,55.38,SINGLE,MID,17.74,NATIONAL CAPITAL REGION,TRADITIONAL,C1,N,N,46579.63,BUSINESS,N,N,N,N,N
49670860,MALE,46.54,MARRIED,LOW,6.08,NO_DATA,NO_DATA,C2,N,N,46425.54,BUSINESS,N,N,N,N,N
7710371.4286,FEMALE,54.2,MARRIED,MID,18.67,REGION III (CENTRAL LUZON),TRADITIONAL,B2,N,N,46388.47,BUSINESS,N,N,N,N,N
135372401.4286,FEMALE,44.88,MARRIED,MID,6.17,NO_DATA,NO_DATA,C2,N,N,46151.88,BUSINESS,N,N,N,N,N
83639231.4286,FEMALE,30.56,MARRIED,MID,0.85,NO_DATA,NO_DATA,C2,N,N,46000.56,BUSINESS,N,N,N,N,N
51174788.5714,FEMALE,58,MARRIED,NO_DATA,3.03,NATIONAL CAPITAL REGION,TRADITIONAL,B2,N,N,45917.09,BUSINESS,N,N,N,N,N
98303058.5714,FEMALE,48.87,SINGLE,LOW,13.75,NATIONAL CAPITAL REGION,TRADITIONAL,C2,N,N,45879.87,BUSINESS,N,N,N,N,N
138654844.2857,MALE,32.7,OTHER,LOW,6.29,REGION VIII (EASTERN VISAYAS),DIGITAL,C2,N,N,45857.33,BUSINESS,N,N,Y,N,N
34883917.1429,MALE,37.21,MARRIED,NO_DATA,0.56,REGION V (BICOL REGION),TRADITIONAL,C2,N,N,45800.16,BUSINESS,N,N,N,N,N
128862901.4286,FEMALE,39.1,SINGLE,LOW,11.79,REGION III (CENTRAL LUZON),TRADITIONAL,C2,N,N,45750.1,BUSINESS,N,N,N,N,N
21329631.4286,FEMALE,32.46,SINGLE,NO_DATA,1.86,NATIONAL CAPITAL REGION,DIGITAL,C2,N,N,45631.9,BUSINESS,N,N,N,N,N
107296031.4286,MALE,58.26,MARRIED,MID,3.37,NO_DATA,NO_DATA,C2,N,N,45599.26,BUSINESS,N,N,N,N,N
113885530,MALE,40.29,SINGLE,LOW,9.15,NATIONAL CAPITAL REGION,DIGITAL,C1,N,N,45539.41,BUSINESS,N,N,N,N,N
128008045.7143,FEMALE,34.37,MARRIED,MID,1.31,REGION III (CENTRAL LUZON),TRADITIONAL,C1,N,N,45527.42,BUSINESS,N,N,N,N,N
115736614.2857,FEMALE,65.25,MARRIED,LOW,21.72,NATIONAL CAPITAL REGION,TRADITIONAL,B1,N,N,45054.81,BUSINESS,N,N,Y,Y,N
55821717.1429,FEMALE,50.79,MARRIED,HIGH,5.66,NATIONAL CAPITAL REGION,TRADITIONAL,B1,N,N,45042.09,BUSINESS,N,N,N,N,N
16360887.1429,FEMALE,31.5,SINGLE,MID,14.46,REGION I (ILOCOS REGION),TRADITIONAL,C2,N,N,45002.5,BUSINESS,N,N,N,N,N
55986328.5714,MALE,53.36,MARRIED,MID,24.21,REGION I (ILOCOS REGION),DIGITAL,C2,N,N,45001.36,BUSINESS,N,N,N,N,N
90423785.7143,MALE,68.81,MARRIED,MID,20.26,NATIONAL CAPITAL REGION,TRADITIONAL,C1,N,N,45000.81,BUSINESS,N,N,N,Y,N
111255502.8571,MALE,38.49,MARRIED,MID,1.19,NO_DATA,NO_DATA,C2,N,N,45000.49,BUSINESS,N,N,N,N,N
100930901.4286,MALE,57.43,MARRIED,MID,11.66,REGION IV-A (CALABARZON),TRADITIONAL,C2,N,N,45000.43,BUSINESS,N,N,N,N,N
136828502.8571,FEMALE,27.05,SINGLE,MID,0.67,NO_DATA,NO_DATA,C2,N,N,45000.05,BUSINESS,N,N,N,N,N
130849544.2857,MALE,46.95,MARRIED,LOW,7.13,NATIONAL CAPITAL REGION,TRADITIONAL,B2,N,N,44999.95,BUSINESS,N,N,N,N,N
22784485.7143,FEMALE,77.87,SEPARATED,MID,21.92,REGION II (CAGAYAN VALLEY),TRADITIONAL,B1,N,N,44999.87,BUSINESS,N,N,Y,Y,N
87551458.5714,FEMALE,64.73,MARRIED,HIGH,12.06,REGION X (NORTHERN MINDANAO),TRADITIONAL,C2,N,N,44999.73,BUSINESS,N,N,N,Y,N
97876957.1429,MALE,47.45,MARRIED,MID,15.97,NO_DATA,NO_DATA,C2,N,N,44999.45,BUSINESS,N,N,N,N,N
137446445.7143,MALE,30.4,SINGLE,MID,4.2,CORDILLERA ADMINISTRATIVE REGION (CAR),TRADITIONAL,C2,N,N,44999.4,BUSINESS,N,N,N,N,N
